Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document,Date,DateTime
"I bet Brian Thompson of UnitedHealth regrets taking all his business pics in that dumbass quarter zip. when you die and all your pictures are you wearing that dumb shit, it greatly cheapens the whole deal. rot in hell!",2,2_unitedhealth_healthcare_ceos_medical,"['unitedhealth', 'healthcare', 'ceos', 'medical', 'health', 'executives', 'patients', 'insider', 'lawsuit', 'care']","['ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially #UnitedHealthcare.', 'United HealthCare had the highest rate of claims denials for its members of any health insurance company in America and double the industry average.\n\nThey say that the reason Brian Thompson died was because they had to wait on prior authorization from UHC to get him admitted to a…', 'ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially United.']",unitedhealth - healthcare - ceos - medical - health - executives - patients - insider - lawsuit - care,False,12/4/2024 17:06,12/4/2024 17:06
"The fact that I used to work for this God-forsaken company… 
I’m very interested to know what the motives will be when the investigation’s complete.",2,2_unitedhealth_healthcare_ceos_medical,"['unitedhealth', 'healthcare', 'ceos', 'medical', 'health', 'executives', 'patients', 'insider', 'lawsuit', 'care']","['ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially #UnitedHealthcare.', 'United HealthCare had the highest rate of claims denials for its members of any health insurance company in America and double the industry average.\n\nThey say that the reason Brian Thompson died was because they had to wait on prior authorization from UHC to get him admitted to a…', 'ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially United.']",unitedhealth - healthcare - ceos - medical - health - executives - patients - insider - lawsuit - care,False,12/4/2024 16:50,12/4/2024 16:50
"THERE WILL COME A TIME NONE OF THEM WILL BE ABLE TO WALK DOWN THE STREET.
BIGGEST FEAR.
PUBLIC AWAKENING.
Q

#BrianThompson #UnitedHealthcare #HiltonHotel #Manhattan",6,6_brianthompson_executives_nypd_corporate,"['brianthompson', 'executives', 'nypd', 'corporate', 'bill', 'company', 'ceos', 'care', 'right', 'social']","['Taylor Lorenz defends United Healthcare CEO Brian Thompson’s murder in sickening post: ‘People wonder why we want these executives dead’', ""Taylor Lorenz slams health insurance industry, says it's no 'wonder why we want these executives dead' after UnitedHealthcare CEO murder"", 'Taylor Lorenz slams health insurance industry, says it\'s no ""wonder why we want these executives dead"" after UnitedHealthcare CEO murder']",brianthompson - executives - nypd - corporate - bill - company - ceos - care - right - social,False,12/4/2024 16:45,12/4/2024 16:45
I hope you have the time and energy to post T&Ps for all the families who’ve lost loved ones because UnitedHealthCare denied life-saving insurance coverage.,1,1_care_said_much_patient,"['care', 'said', 'much', 'patient', 'plan', 'million', 'doctors', 'critical', 'pay', 'accused']","['Lawsuit Filed Before Killing of UnitedHealthcare CEO Accused Insurance Giant of Using Faulty AI Tool to Deny Claims Approved by Doctors #Insurancepremiums #Insurance #Healthcare', ""Insurance companies make profits from denying to help people. UnitedHealthcare Group had a 32% claim denial rate in 2023, they've done more than just ruin people's lives, they've killed people. I don't think people who do OF kill thousands of people per year."", 'Denied by AI: How Medicare Advantage plans use algorithms to cut off care for seniors in need …Brian Thompson was the CEO of United Health Care …']",care - said - much - patient - plan - million - doctors - critical - pay - accused,False,12/4/2024 16:45,12/4/2024 16:45
Oh no they're shooting health insurance CEOs in the streets. I hope no one else gets any ideas and shoots more health insurance executives in the streets.,6,6_brianthompson_executives_nypd_corporate,"['brianthompson', 'executives', 'nypd', 'corporate', 'bill', 'company', 'ceos', 'care', 'right', 'social']","['Taylor Lorenz defends United Healthcare CEO Brian Thompson’s murder in sickening post: ‘People wonder why we want these executives dead’', ""Taylor Lorenz slams health insurance industry, says it's no 'wonder why we want these executives dead' after UnitedHealthcare CEO murder"", 'Taylor Lorenz slams health insurance industry, says it\'s no ""wonder why we want these executives dead"" after UnitedHealthcare CEO murder']",brianthompson - executives - nypd - corporate - bill - company - ceos - care - right - social,False,12/4/2024 16:40,12/4/2024 16:40
"Congratulations to Brian Thompson for avoiding a long and expensive end-of-life illness, filled with struggles to obtain care from insurance companies that employ AI to deny 90% of claims submitted.",2,2_unitedhealth_healthcare_ceos_medical,"['unitedhealth', 'healthcare', 'ceos', 'medical', 'health', 'executives', 'patients', 'insider', 'lawsuit', 'care']","['ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially #UnitedHealthcare.', 'United HealthCare had the highest rate of claims denials for its members of any health insurance company in America and double the industry average.\n\nThey say that the reason Brian Thompson died was because they had to wait on prior authorization from UHC to get him admitted to a…', 'ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially United.']",unitedhealth - healthcare - ceos - medical - health - executives - patients - insider - lawsuit - care,False,12/4/2024 16:36,12/4/2024 16:36
"My thoughts and sympathies are with all who have been impacted by the sociopathic business practices of health insurance executives like Brian Thompson.
Today, nature is healing🌅",2,2_unitedhealth_healthcare_ceos_medical,"['unitedhealth', 'healthcare', 'ceos', 'medical', 'health', 'executives', 'patients', 'insider', 'lawsuit', 'care']","['ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially #UnitedHealthcare.', 'United HealthCare had the highest rate of claims denials for its members of any health insurance company in America and double the industry average.\n\nThey say that the reason Brian Thompson died was because they had to wait on prior authorization from UHC to get him admitted to a…', 'ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially United.']",unitedhealth - healthcare - ceos - medical - health - executives - patients - insider - lawsuit - care,False,12/4/2024 16:35,12/4/2024 16:35
This only happens because the healthcare industry is as corrupt as it is,1,1_care_said_much_patient,"['care', 'said', 'much', 'patient', 'plan', 'million', 'doctors', 'critical', 'pay', 'accused']","['Lawsuit Filed Before Killing of UnitedHealthcare CEO Accused Insurance Giant of Using Faulty AI Tool to Deny Claims Approved by Doctors #Insurancepremiums #Insurance #Healthcare', ""Insurance companies make profits from denying to help people. UnitedHealthcare Group had a 32% claim denial rate in 2023, they've done more than just ruin people's lives, they've killed people. I don't think people who do OF kill thousands of people per year."", 'Denied by AI: How Medicare Advantage plans use algorithms to cut off care for seniors in need …Brian Thompson was the CEO of United Health Care …']",care - said - much - patient - plan - million - doctors - critical - pay - accused,False,12/4/2024 16:24,12/4/2024 16:24
"Years of experience working in health insurance only make me surprised this doesn't happen way more often.

He probably killed 1000 people in the last week with his signature.",2,2_unitedhealth_healthcare_ceos_medical,"['unitedhealth', 'healthcare', 'ceos', 'medical', 'health', 'executives', 'patients', 'insider', 'lawsuit', 'care']","['ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially #UnitedHealthcare.', 'United HealthCare had the highest rate of claims denials for its members of any health insurance company in America and double the industry average.\n\nThey say that the reason Brian Thompson died was because they had to wait on prior authorization from UHC to get him admitted to a…', 'ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially United.']",unitedhealth - healthcare - ceos - medical - health - executives - patients - insider - lawsuit - care,False,12/4/2024 16:22,12/4/2024 16:22
Think of how much cash UnitedHealthcare just saved,1,1_care_said_much_patient,"['care', 'said', 'much', 'patient', 'plan', 'million', 'doctors', 'critical', 'pay', 'accused']","['Lawsuit Filed Before Killing of UnitedHealthcare CEO Accused Insurance Giant of Using Faulty AI Tool to Deny Claims Approved by Doctors #Insurancepremiums #Insurance #Healthcare', ""Insurance companies make profits from denying to help people. UnitedHealthcare Group had a 32% claim denial rate in 2023, they've done more than just ruin people's lives, they've killed people. I don't think people who do OF kill thousands of people per year."", 'Denied by AI: How Medicare Advantage plans use algorithms to cut off care for seniors in need …Brian Thompson was the CEO of United Health Care …']",care - said - much - patient - plan - million - doctors - critical - pay - accused,False,12/4/2024 16:21,12/4/2024 16:21
