Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document,Date
"Over the last few days, I've been watching the Left and Left MSM celebrating Luigi Mangione murdering UnitedHealthcare’s CEO, Brian Thompson. It is disgusting. It's also not a surprise since the Left love celebrating violence.

There's something more going on with them…",15,15_innocent_killed_assassinating_warren,"['innocent', 'killed', 'assassinating', 'warren', 'condolences', 'brianthompson', 'kill', 'hearted', 'executed', 'shot']","['Chris Rock spoke on Luigi Mangione during his SNL monologue\r\n\r\n“He actually k*lled a man with a family, with kids. I have real condolences for the Healthcare CEO. This is a real person… but sometimes drug dealers get shot”', '“[Luigi Mangione] killed a man with a family, with kids. I have real condolences for the healthcare CEO. This is a real person…But sometimes drug dealers get shot.”\r\n\r\n— Chris Rock on the UnitedHealthcare CEO assassination', 'Chris Rock: [Luigi Mangione] killed a man with a family, with kids. I have real condolences for the (United)Healthcare CEO. This is a real person… But… you know, sometimes drug dealers get shot.']",innocent - killed - assassinating - warren - condolences - brianthompson - kill - hearted - executed - shot,False,12/12/2024 19:14
RIP Brian Thompson,24,24_posthumously_mourn_mourned_grave,"['posthumously', 'mourn', 'mourned', 'grave', 'founders', 'heartbreak', 'rip', 'ripbozo', 'sad', 'injured']","['RIP Brian Thompson.', 'Fun socks: on\r\n\r\nPant legs: rolled up past ankle\r\n\r\nPatagonia vest: unzipped\r\n\r\nEmails: replied ""yes Massa""\r\n\r\nYup, I\'m thinkin it\'s time to posthumously fellate Brian Thompson', 'The annual appearance  of the holiday suits marks a joyous end of another year in our cycle of free monthly events. Big props to our co-founders Ben Thoma  and Brian Thompson  for donning their festive attire! #CMcycle #CMATX']",posthumously - mourn - mourned - grave - founders - heartbreak - rip - ripbozo - sad - injured,False,12/12/2024 18:46
"Sure. Luigi, as a young kid, definitely didn’t run the nursing homes or resorts though. He grew up utilizing his lucky condition, gained an education, and used that knowledge and education for good (class consciousness/killing a terrible person)",5,5_died_killed_murderous_heroic,"['died', 'killed', 'murderous', 'heroic', 'nick', 'death', 'guy', 'rampage', 'poor', 'victim']","['This! ⬇️. Ironic Luigi grew up affluent, Ivy League educ., while Brian (the victim, since no one says it - his name was “BRIAN THOMPSON”, and HE WAS A HUMAN BEING and LOVED!!) grew up working class, went to a state university and got a Business Admin. degree (both like me).', 'Dude is from a wealthy family and went to an ivy league school. The person he killed rose up the ranks from a small town and worked through college. Fuck everything about Luigi and his fake plight.', 'Rittenhouse shot in self defense those attacking him. Penny saved people from a violent man who died of medical issues & drugs & was alive when police arrived\r\n\r\nLuigi is a spoiled rich kid who shot a father & husband in the back who grew up poor on a farm & improved insurance care']",died - killed - murderous - heroic - nick - death - guy - rampage - poor - victim,False,12/12/2024 18:45
".'s inflammatory comments following the tragic murder of UnitedHealthcare CEO Brian Thompson—a husband and father of two—are dangerous and beneath the dignity of the U.S. Senate

Chair  demands that Warren apologize to the Thompson family.
#mapoli #MassGOP",1,1_unitedhealth_family_visionary_healthcare,"['unitedhealth', 'family', 'visionary', 'healthcare', 'health', 'company', 'leader', 'care', 'paulette', 'prayers']","['🚨 JUST IN: Surveillance Footage Shows UnitedHealthcare CEO Fatally Shot:  \r\n\r\nBrian Thompson was gunned down outside the Hilton Hotel in Midtown Manhattan. A truly tragic and heartbreaking incident. 🇺🇸 🙏🏾', '🚨WIFE OF SLAIN UNITEDHEALTHCARE CEO REVEALS HE RECEIVED THREATS BEFORE SHOOTING\r\n\r\nPaulette Thompson, wife of UnitedHealthcare CEO Brian Thompson, disclosed that her husband had been receiving threats before he was fatally shot outside a Midtown Manhattan hotel.\r\n\r\nIn her first…', 'Brian Thompson, the CEO of UnitedHealthcare, was assassinated in New York City yesterday. The 50-year-old executive was fatally shot outside the New York Hilton Midtown hotel in what authorities describe as a targeted attack. In one word, let us honor his memory.']",unitedhealth - family - visionary - healthcare - health - company - leader - care - paulette - prayers,False,12/12/2024 18:43
"You’re angry about the way I’ve described Brian Thompson because it humanises a victim of a murder which you seem to want to portray as justified. 

The fact he had children is very relevant to who he was, and to say otherwise just shows how devoid of empathy you are.",0,0_killer_murders_murderer_hope,"['killer', 'murders', 'murderer', 'hope', 'family', 'died', 'children', 'thousands', 'guy', 'victim']","['Brian Thompson didn’t murder anyone. No one at his company has murdered anyone. People have died under their rules and regulations, & yes, there should be a discussion about that. But that is not now, & to say you’re “joyful” or in any way happy his death happened is disgusting.', 'Disturbing!  How does this make anyone feel “joyful”?\r\n\r\nTaylor Lorenz is laughing over Brian Thompson’s death and says it brings her joy.  Piers is having no part of it! Disgusting that anyone would feel this way!', 'There is absolutely no justification for anyone to feel JOY over the assassination of Brian Thompson. Taylor Lorenz should be ashamed of herself. She really needs a good rest to think about why she felt that feeling about someone who died, or to celebrate the assassination! ###']",killer - murders - murderer - hope - family - died - children - thousands - guy - victim,False,12/12/2024 18:26
RIP BOZOOOOOO,24,24_posthumously_mourn_mourned_grave,"['posthumously', 'mourn', 'mourned', 'grave', 'founders', 'heartbreak', 'rip', 'ripbozo', 'sad', 'injured']","['RIP Brian Thompson.', 'Fun socks: on\r\n\r\nPant legs: rolled up past ankle\r\n\r\nPatagonia vest: unzipped\r\n\r\nEmails: replied ""yes Massa""\r\n\r\nYup, I\'m thinkin it\'s time to posthumously fellate Brian Thompson', 'The annual appearance  of the holiday suits marks a joyous end of another year in our cycle of free monthly events. Big props to our co-founders Ben Thoma  and Brian Thompson  for donning their festive attire! #CMcycle #CMATX']",posthumously - mourn - mourned - grave - founders - heartbreak - rip - ripbozo - sad - injured,False,12/12/2024 18:07
UnitedHealth Group CEO remembers Brian Thompson as ‘one of the good guys’ in memo to workers: reports,6,6_andrew_died_unitedhealth_news,"['andrew', 'died', 'unitedhealth', 'news', 'hawkeye', 'rest', 'leader', 'support', 'condolences', 'hope']","['In response to the incident, UnitedHealthcare issued a statement. The company wrote, “We are deeply saddened and shocked at the passing of our dear friend and colleague Brian Thompson, the CEO of UnitedHealthcare. Brian was a highly respected colleague and friend to all who…', 'UnitedHealth Group CEO Andrew Witty has issued an emotional tribute to Brian Thompson, the head of the group’s insurance arm, UnitedHealthcare, following Thompson’s death at the hands of a gunman.', 'The full statement from UnitedHealth Group regarding their colleague Brian Thompson:\r\n\r\nUnitedHealth Group Statement on Our Friend and Colleague Brian Thompson \r\nDecember 05, 2024\r\n\r\nUnitedHealth Group today issued the following statement:\r\n\r\n""While our hearts are broken, we have been…']",andrew - died - unitedhealth - news - hawkeye - rest - leader - support - condolences - hope,False,12/12/2024 17:46
He’s injured. If you got shot would you want people making fun of you. RIP Brian Thompson.,24,24_posthumously_mourn_mourned_grave,"['posthumously', 'mourn', 'mourned', 'grave', 'founders', 'heartbreak', 'rip', 'ripbozo', 'sad', 'injured']","['RIP Brian Thompson.', 'Fun socks: on\r\n\r\nPant legs: rolled up past ankle\r\n\r\nPatagonia vest: unzipped\r\n\r\nEmails: replied ""yes Massa""\r\n\r\nYup, I\'m thinkin it\'s time to posthumously fellate Brian Thompson', 'The annual appearance  of the holiday suits marks a joyous end of another year in our cycle of free monthly events. Big props to our co-founders Ben Thoma  and Brian Thompson  for donning their festive attire! #CMcycle #CMATX']",posthumously - mourn - mourned - grave - founders - heartbreak - rip - ripbozo - sad - injured,False,12/12/2024 17:44
"""If you make that argument, and Briahna IS making that argument, then her brain is broken!""

Clay Travis clashes with Briahna Joy Gray, after she says she ""has no empathy"" for the death of CEO Brian Thompson.

📺 

 |  |",13,13_healthcare_ceos_sympathy_condolences,"['healthcare', 'ceos', 'sympathy', 'condolences', 'fatally', 'tragically', 'husband', 'killed', 'death', 'colleague']","['To The Family Of Fallen Chief Executive Officer Brian Thompson, UHC, Who Leaves Behind A Wife And Two Sons, My Deepest Condolences To You For Your Loss. That Was So UNHOLY What That Assassin Did. Shooting An Unarmed Man From Behind, In The Back And In The Hind Leg!', 'Brian Thompson, a well-respected healthcare CEO, was tragically killed in New York. His passing has sent shockwaves through the healthcare community, where he was known for his dedication and innovative leadership. The industry has mourned his loss deeply, with many colleagues an', ""It's sad to see that UHC CEO Brian Thompson was shot to death today. It's unthinkable. \r\n\r\nWhat's worse is that in today's NYC, if he had been able to take down the assassin and chokehold him until police arrived, he'd eventually be facing an unfair trial like Daniel Penny.""]",healthcare - ceos - sympathy - condolences - fatally - tragically - husband - killed - death - colleague,False,12/12/2024 17:36
"Luigi Mangione Yells Walking Into Court

RIP UnitedHealthcare CEO Brian Thompson 



#luigimangione #unitedhealthcare #uhc #uhg #BrianThompson #altoonapa #nypd #police #cops",15,15_innocent_killed_assassinating_warren,"['innocent', 'killed', 'assassinating', 'warren', 'condolences', 'brianthompson', 'kill', 'hearted', 'executed', 'shot']","['Chris Rock spoke on Luigi Mangione during his SNL monologue\r\n\r\n“He actually k*lled a man with a family, with kids. I have real condolences for the Healthcare CEO. This is a real person… but sometimes drug dealers get shot”', '“[Luigi Mangione] killed a man with a family, with kids. I have real condolences for the healthcare CEO. This is a real person…But sometimes drug dealers get shot.”\r\n\r\n— Chris Rock on the UnitedHealthcare CEO assassination', 'Chris Rock: [Luigi Mangione] killed a man with a family, with kids. I have real condolences for the (United)Healthcare CEO. This is a real person… But… you know, sometimes drug dealers get shot.']",innocent - killed - assassinating - warren - condolences - brianthompson - kill - hearted - executed - shot,False,12/12/2024 17:26
"I condemn violence in any form, and I mourn for those affected by Brian Thompson's shooting. A wife lost her husband. Two children lost a father. I am sure that many are mourning the loss of a friend. This is not the way to effect change!",0,0_killer_murders_murderer_hope,"['killer', 'murders', 'murderer', 'hope', 'family', 'died', 'children', 'thousands', 'guy', 'victim']","['Brian Thompson didn’t murder anyone. No one at his company has murdered anyone. People have died under their rules and regulations, & yes, there should be a discussion about that. But that is not now, & to say you’re “joyful” or in any way happy his death happened is disgusting.', 'Disturbing!  How does this make anyone feel “joyful”?\r\n\r\nTaylor Lorenz is laughing over Brian Thompson’s death and says it brings her joy.  Piers is having no part of it! Disgusting that anyone would feel this way!', 'There is absolutely no justification for anyone to feel JOY over the assassination of Brian Thompson. Taylor Lorenz should be ashamed of herself. She really needs a good rest to think about why she felt that feeling about someone who died, or to celebrate the assassination! ###']",killer - murders - murderer - hope - family - died - children - thousands - guy - victim,False,12/12/2024 17:08
"""He had a family, how could Luigi do that to his children"" line was cut by editor",4,4_god_praying_deserves_man,"['god', 'praying', 'deserves', 'man', 'hero', 'killed', 'daisy', 'life', 'baby', 'legend']","['Luigi is an elitist, spoiled, rich kid who shot a husband & father in the back who grew up poor on a farm in Iowa & worked hard for his position & improved insurance access for customers.\r\n\r\nRittenhouse shot people attacking him in an effort to do him bodily harm\r\n\r\nLIBERAL MORAL ROT', 'I get why the fools  love him, man vs The System, etc. I also feel sorry for Luigi, a nice kid who went nuts.\r\n\r\nBut the ghouls totally ignore his other victims: two fatherless little boys who are doing Christmas without their dad-their first of many awful Christmasses. When you…', 'Praise Jesus Our Lord, Praise Him! I will pray for you and for the family of the man murdered. God is Love the Word and the Truth. \r\n\r\nPoor Luigi & followers are sadly Lost as Luigi reminds the world that the Devil works here on earth. Peace.']",god - praying - deserves - man - hero - killed - daisy - life - baby - legend,False,12/12/2024 17:07
"Mangione's lawyer Thomas Dickey has suggested he intends to offer an affirmative defense of his client's innocence. If that side follows through, *I* intend to make as many OJ Simpson comparisons as I deem fitting until sentencing. Y'know, cuz murder is wrong.

#JusticeForBrian",17,17_killer_death_killed_care,"['killer', 'death', 'killed', 'care', 'martyr', 'dead', 'executed', 'policy', 'hanged', 'justice']","['This guy mangione thinks he’s done society a favor buy killing a CEO. He’s actually proven he’s a coward especially when you shoot a man in the back. This man had a wife and family and he’s a sick young man and I hope he gets the death penalty or lots of jail time', 'If Hicock or Earp were today in charge of Law enforcement in NYC, Mangionie would be hanged for murder. Just like Jack McCall was hanged for shooting Hicock in the back. This backshooter IS NO HERO. Brian Thompson never knew why this cowardly backshooter shot him in the back.', 'Except Mangione’s family isn’t  “working class,” but VERY wealthy & could afford any care he needed. Stop making the shooter heroic. He executed a human being, a husband & father (he didn’t destroy an establishment’s bad policy, regulatory red tape, or corruption) Dont normalize']",killer - death - killed - care - martyr - dead - executed - policy - hanged - justice,False,12/12/2024 16:45
"The media's obsession with Luigi Mangione, the killer of Brian Thompson, is sickening. He's being turned into a celebrity when he's a murderer who took a husband, father, from his family. Why this fascination? It's just another example of sensationalized news, glorifying someone…",17,17_killer_death_killed_care,"['killer', 'death', 'killed', 'care', 'martyr', 'dead', 'executed', 'policy', 'hanged', 'justice']","['This guy mangione thinks he’s done society a favor buy killing a CEO. He’s actually proven he’s a coward especially when you shoot a man in the back. This man had a wife and family and he’s a sick young man and I hope he gets the death penalty or lots of jail time', 'If Hicock or Earp were today in charge of Law enforcement in NYC, Mangionie would be hanged for murder. Just like Jack McCall was hanged for shooting Hicock in the back. This backshooter IS NO HERO. Brian Thompson never knew why this cowardly backshooter shot him in the back.', 'Except Mangione’s family isn’t  “working class,” but VERY wealthy & could afford any care he needed. Stop making the shooter heroic. He executed a human being, a husband & father (he didn’t destroy an establishment’s bad policy, regulatory red tape, or corruption) Dont normalize']",killer - death - killed - care - martyr - dead - executed - policy - hanged - justice,False,12/12/2024 16:23
"In a message to the company’s nearly 400,000 employees, Andrew Witty, the CEO of UnitedHealth Group — UnitedHealthcare’s parent company — confirmed Thompson was laid to rest on Monday and that colleagues gathered in Minnesota on Tuesday for a memorial.",6,6_andrew_died_unitedhealth_news,"['andrew', 'died', 'unitedhealth', 'news', 'hawkeye', 'rest', 'leader', 'support', 'condolences', 'hope']","['In response to the incident, UnitedHealthcare issued a statement. The company wrote, “We are deeply saddened and shocked at the passing of our dear friend and colleague Brian Thompson, the CEO of UnitedHealthcare. Brian was a highly respected colleague and friend to all who…', 'UnitedHealth Group CEO Andrew Witty has issued an emotional tribute to Brian Thompson, the head of the group’s insurance arm, UnitedHealthcare, following Thompson’s death at the hands of a gunman.', 'The full statement from UnitedHealth Group regarding their colleague Brian Thompson:\r\n\r\nUnitedHealth Group Statement on Our Friend and Colleague Brian Thompson \r\nDecember 05, 2024\r\n\r\nUnitedHealth Group today issued the following statement:\r\n\r\n""While our hearts are broken, we have been…']",andrew - died - unitedhealth - news - hawkeye - rest - leader - support - condolences - hope,False,12/12/2024 16:09
Brian Thompson was an innocent person. Ya’ll are fucking sick.,18,18_celebration_guy_stephens_better,"['celebration', 'guy', 'stephens', 'better', 'fucking', 'hero', 'shot', 'ya', 'innocent', 'damning']","['Brian Thompson was an innocent man.', 'You do realize that Brian Thompson was also \r\nan innocent person, right?', 'Brian Thompson was an innocent person.']",celebration - guy - stephens - better - fucking - hero - shot - ya - innocent - damning,False,12/12/2024 16:06
Check out $brian justice for Brian Thompson the real Victim imo this will pump just like Luigi did.,22,22_hypocrisy_died_killed_murdering,"['hypocrisy', 'died', 'killed', 'murdering', 'sadden', 'justice', 'innocent', 'untruthful', 'yall', 'guilty']","['The full circle. (Someone killed Brian).\r\n\r\n- $DDD pumped. \r\n- $LUIGI pumped (today).\r\n\r\nThen finally comes back to who died and why, do the people seek Justice?\r\n\r\n- JUSTICE FOR #BRIAN THOMPSON! (the finale).\r\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump', 'The full circle. (Someone killed Brian).\r\n\r\n- $DDD pumped. \r\n- $LUIGI pumped (today).\r\n\r\nThen finally comes back to who died and why, do the people seek Justice?\r\n\r\n- JUSTICE FOR #BRIAN THOMPSON !! (the finale).\r\n\r\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump', 'The full circle. (Someone killed Brian).\r\n\r\n- $DDD pumped. \r\n- $LUIGI pumped (today).\r\n\r\nThen finally comes back to who died and why, do the people seek Justice?\r\n\r\n- JUSTICE FOR #BRIAN THOMPSON (the finale).\r\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump']",hypocrisy - died - killed - murdering - sadden - justice - innocent - untruthful - yall - guilty,False,12/12/2024 15:59
"Underneath all the bullshit, Luigi is a coastal, yuppie, elite who followed an ideology of jealousy and killed a success story from a working class Iowa family. So other coastal elites want to make him into an idol, and their fanclub is eating it up.",4,4_god_praying_deserves_man,"['god', 'praying', 'deserves', 'man', 'hero', 'killed', 'daisy', 'life', 'baby', 'legend']","['Luigi is an elitist, spoiled, rich kid who shot a husband & father in the back who grew up poor on a farm in Iowa & worked hard for his position & improved insurance access for customers.\r\n\r\nRittenhouse shot people attacking him in an effort to do him bodily harm\r\n\r\nLIBERAL MORAL ROT', 'I get why the fools  love him, man vs The System, etc. I also feel sorry for Luigi, a nice kid who went nuts.\r\n\r\nBut the ghouls totally ignore his other victims: two fatherless little boys who are doing Christmas without their dad-their first of many awful Christmasses. When you…', 'Praise Jesus Our Lord, Praise Him! I will pray for you and for the family of the man murdered. God is Love the Word and the Truth. \r\n\r\nPoor Luigi & followers are sadly Lost as Luigi reminds the world that the Devil works here on earth. Peace.']",god - praying - deserves - man - hero - killed - daisy - life - baby - legend,False,12/12/2024 15:58
"Under CEO Brian Thompson, UnitedHealthcare has expanded access to healthcare for millions, focusing on community health, affordability, and innovation. His leadership continues to drive positive change for underserved populations. #HealthcareForAll #CommunityImpact #Leadership",3,3_brianthompson_tragic_john_andrew,"['brianthompson', 'tragic', 'john', 'andrew', 'slain', 'mr', 'chief', 'leader', 'role', 'care']","['🚨🇺🇸 NEW UHC CEO PRAISES MURDERED CEO AS A “HEALTHCARE LEGEND”\r\n\r\nIn a leaked pep talk to staff, UnitedHealth Group CEO Andrew Witty praised slain CEO Brian Thompson as a titan of healthcare, claiming he had one of the “biggest effects” on the industry—despite ongoing accusations…', 'UnitedHealth chief admits US health system ‘does not work as well as it should’  \r\nIn a New York Times essay, Andrew Witty also says slain healthcare CEO Brian Thompson cared about customers\r\n\r\nThe leader of the parent company of Unit…', ""UnitedHealth Group $UNH is navigating challenges following the tragic loss of UnitedHealthcare CEO Brian Thompson. CEO Andrew Witty acknowledges the healthcare system's flaws and emphasizes the company's commitment to improvements.""]",brianthompson - tragic - john - andrew - slain - mr - chief - leader - role - care,False,12/12/2024 15:53
"Poor Brian Thompson from Romford. Can't believe the farmers thought killing him with their tractors (effectively) was either a good idea, or would convince people of the righteousness of their cause.",20,20_bill_poor_socialists_based,"['bill', 'poor', 'socialists', 'based', 'companies', 'employees', 'evidence', 'payer', 'hospital', 'cause']","['Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator', 'This is who Luigi shot\r\n\r\n""Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator—they were probably really…', 'Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator—they were probably really proud when he graduated…']",bill - poor - socialists - based - companies - employees - evidence - payer - hospital - cause,False,12/12/2024 14:51
"He was a hero, Luigi killed a mass murder who did it all legally",5,5_died_killed_murderous_heroic,"['died', 'killed', 'murderous', 'heroic', 'nick', 'death', 'guy', 'rampage', 'poor', 'victim']","['This! ⬇️. Ironic Luigi grew up affluent, Ivy League educ., while Brian (the victim, since no one says it - his name was “BRIAN THOMPSON”, and HE WAS A HUMAN BEING and LOVED!!) grew up working class, went to a state university and got a Business Admin. degree (both like me).', 'Dude is from a wealthy family and went to an ivy league school. The person he killed rose up the ranks from a small town and worked through college. Fuck everything about Luigi and his fake plight.', 'Rittenhouse shot in self defense those attacking him. Penny saved people from a violent man who died of medical issues & drugs & was alive when police arrived\r\n\r\nLuigi is a spoiled rich kid who shot a father & husband in the back who grew up poor on a farm & improved insurance care']",died - killed - murderous - heroic - nick - death - guy - rampage - poor - victim,False,12/12/2024 14:24
"Brian Thompson was innocent people. Luigi is the one who is not innocent, unless he was framed, but Brian Thomson, and his family, are innocent people. Democrats have been in charge since 2008, other than trump's 4 years, and if you have shitty health insurance, that's on them.",22,22_hypocrisy_died_killed_murdering,"['hypocrisy', 'died', 'killed', 'murdering', 'sadden', 'justice', 'innocent', 'untruthful', 'yall', 'guilty']","['The full circle. (Someone killed Brian).\r\n\r\n- $DDD pumped. \r\n- $LUIGI pumped (today).\r\n\r\nThen finally comes back to who died and why, do the people seek Justice?\r\n\r\n- JUSTICE FOR #BRIAN THOMPSON! (the finale).\r\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump', 'The full circle. (Someone killed Brian).\r\n\r\n- $DDD pumped. \r\n- $LUIGI pumped (today).\r\n\r\nThen finally comes back to who died and why, do the people seek Justice?\r\n\r\n- JUSTICE FOR #BRIAN THOMPSON !! (the finale).\r\n\r\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump', 'The full circle. (Someone killed Brian).\r\n\r\n- $DDD pumped. \r\n- $LUIGI pumped (today).\r\n\r\nThen finally comes back to who died and why, do the people seek Justice?\r\n\r\n- JUSTICE FOR #BRIAN THOMPSON (the finale).\r\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump']",hypocrisy - died - killed - murdering - sadden - justice - innocent - untruthful - yall - guilty,False,12/12/2024 14:23
"RIP Brian Thompson from Romford. Yesterday the grandfather of four died in the back of an ambulance after it was held up by anti tax activists blocking the roads with £100,000 Lamborghini tractors. Gone but you will never be forgotten. 🎗️.  .",10,10_grieving_condolences_whistleblower_brianthompsom,"['grieving', 'condolences', 'whistleblower', 'brianthompsom', 'died', 'mourn', 'everyone', 'death', 'sad', 'devastating']","[""Brian Thompson and his family live in the next town over from me. His wife and two boys are going to sleep tonight after enduring the worst day of their lives. They'll never have a normal holiday season ever again. Millions of people watched their husband & dad get killed.\r\n\r\nShit…"", 'A day that shall live in infamy: December 4, 2024: Brian Thompson rendered deceased:   The greatest love: John 15:13. Holding Genesis 9:6 accountable. God’s armies intended: second amendment:\r\nDavid’s/Goliath.', ""This is ghastly. Seek Jesus, repent. 1 second here, next second crossing over. Where would you land if your time was up today?\r\nJesus Christ is my Lord and Savior!\r\nGodspeed Brian Thompson. May God's grace surround his family.""]",grieving - condolences - whistleblower - brianthompsom - died - mourn - everyone - death - sad - devastating,False,12/12/2024 14:12
Justice for Brian Thompson  and his family will be served also. Act of evil shouldn't be forgotten.,8,8_condolences_killer_assassin_news,"['condolences', 'killer', 'assassin', 'news', 'shot', 'bullet', 'bullets', 'incident', 'god', 'colleagues']","['JUSTICE FOR BRIAN. THE PEOPLE NEED TO RALLY FOR WHAT IS GOOD. NOT WHAT IS BAD.\r\n\r\nBRIAN THOMPSON WAS SHOT AND MURDERED IN COLD BLOOD. HIS FAMILY WANT JUSTICE.', 'Someone killed $Brian Thompson \r\n\r\nBrian has a family and two innocent children 🧒 so he deserves justice..\r\nJustice for #BrianThompson \r\n\r\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump', 'Justice for Brian Thompson.']",condolences - killer - assassin - news - shot - bullet - bullets - incident - god - colleagues,False,12/12/2024 13:45
"Brian Thompson never lobbied any politicians for those purposes, and you have no evidence that he did. It's all your own conjecture. He worked there for 20 years and climbed the corporate ladder to expose corruption. There is clear evidence of that.",20,20_bill_poor_socialists_based,"['bill', 'poor', 'socialists', 'based', 'companies', 'employees', 'evidence', 'payer', 'hospital', 'cause']","['Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator', 'This is who Luigi shot\r\n\r\n""Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator—they were probably really…', 'Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator—they were probably really proud when he graduated…']",bill - poor - socialists - based - companies - employees - evidence - payer - hospital - cause,False,12/12/2024 12:31
"Jimmy Kimmel making light of and telling 3rd party jokes about the murder of CEO Brian Thompson is about as low as it gets. No matter how politically hip it may be, some lines you just don't cross. The man died. He had a family.",21,21_died_tore_killer_murderer,"['died', 'tore', 'killer', 'murderer', 'killed', 'god', 'die', 'empathy', 'victims', 'disgusting']","['United Healthcare CEO Brian Thompson was murdered today. Murder is ALWAYS wrong. Holding his family in The Light.\r\nWhat does not make news are the THOUSANDS of Americans who die because their health claim was denied by insurance companies.', 'Charlamage the God chimes in on the murder of UnitedHealthcare CEO Brian Thompson, questions why people are celebrating it.\r\n\r\n""I don\'t understand why people are celebrating him being killed because like I said yesterday, he\'s dead. His kids don\'t got no father.""', 'Charlamagne tha God slammed people celebrating the cold-blooded assassination of UnitedHealthcare CEO Brian Thompson — and delivered a reality check about its larger meaning.\r\n\r\n“I don’t understand why people are celebrating him being killed,” the radio host said Friday on his show…']",died - tore - killer - murderer - killed - god - die - empathy - victims - disgusting,False,12/12/2024 12:12
"I agree - this was someone's son, father, and husband. He himself didnt pull the plug on Nonna or whatever Luigi's issue was. And the same logic he used could be applied to nearly every industry.

I bet it stops being heroic when it's your own family that's murdered",5,5_died_killed_murderous_heroic,"['died', 'killed', 'murderous', 'heroic', 'nick', 'death', 'guy', 'rampage', 'poor', 'victim']","['This! ⬇️. Ironic Luigi grew up affluent, Ivy League educ., while Brian (the victim, since no one says it - his name was “BRIAN THOMPSON”, and HE WAS A HUMAN BEING and LOVED!!) grew up working class, went to a state university and got a Business Admin. degree (both like me).', 'Dude is from a wealthy family and went to an ivy league school. The person he killed rose up the ranks from a small town and worked through college. Fuck everything about Luigi and his fake plight.', 'Rittenhouse shot in self defense those attacking him. Penny saved people from a violent man who died of medical issues & drugs & was alive when police arrived\r\n\r\nLuigi is a spoiled rich kid who shot a father & husband in the back who grew up poor on a farm & improved insurance care']",died - killed - murderous - heroic - nick - death - guy - rampage - poor - victim,False,12/12/2024 11:42
"#CEOAssassination #LuigiMangione #UnitedHealthcare 
Do you believe Luigi is the guy in the photo?
Do you believe he’s the killer?
Do you feel bad for the CEO?
Do you think he was just looking for Mario?",5,5_died_killed_murderous_heroic,"['died', 'killed', 'murderous', 'heroic', 'nick', 'death', 'guy', 'rampage', 'poor', 'victim']","['This! ⬇️. Ironic Luigi grew up affluent, Ivy League educ., while Brian (the victim, since no one says it - his name was “BRIAN THOMPSON”, and HE WAS A HUMAN BEING and LOVED!!) grew up working class, went to a state university and got a Business Admin. degree (both like me).', 'Dude is from a wealthy family and went to an ivy league school. The person he killed rose up the ranks from a small town and worked through college. Fuck everything about Luigi and his fake plight.', 'Rittenhouse shot in self defense those attacking him. Penny saved people from a violent man who died of medical issues & drugs & was alive when police arrived\r\n\r\nLuigi is a spoiled rich kid who shot a father & husband in the back who grew up poor on a farm & improved insurance care']",died - killed - murderous - heroic - nick - death - guy - rampage - poor - victim,False,12/12/2024 11:17
