Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document,Date
"Say this to Brian Thompson's wife and family, Sunny. Let's see how they feel about it.",10,10_grieving_condolences_whistleblower_brianthompsom,"['grieving', 'condolences', 'whistleblower', 'brianthompsom', 'died', 'mourn', 'everyone', 'death', 'sad', 'devastating']","[""Brian Thompson and his family live in the next town over from me. His wife and two boys are going to sleep tonight after enduring the worst day of their lives. They'll never have a normal holiday season ever again. Millions of people watched their husband & dad get killed.\r\n\r\nShit…"", 'A day that shall live in infamy: December 4, 2024: Brian Thompson rendered deceased:   The greatest love: John 15:13. Holding Genesis 9:6 accountable. God’s armies intended: second amendment:\r\nDavid’s/Goliath.', ""This is ghastly. Seek Jesus, repent. 1 second here, next second crossing over. Where would you land if your time was up today?\r\nJesus Christ is my Lord and Savior!\r\nGodspeed Brian Thompson. May God's grace surround his family.""]",grieving - condolences - whistleblower - brianthompsom - died - mourn - everyone - death - sad - devastating,False,12/9/2024 19:47
A girl who appears to be the sister of Luigi Mangione posted this on Instagram a few minutes ago: “praying for you.”,16,16_mentalhealth_condolences_donate_gofundme,"['mentalhealth', 'condolences', 'donate', 'gofundme', 'assassin', 'daddy', 'devastated', 'mr', 'john', 'news']","['NEW from Luigi Mangione\'s family:\r\n""We only know what we have read in the media. Our family is shocked and devastated by Luigi’s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved. We are devastated by this news.""', ""Luigi Mangione’s family has released a statement:\r\n\r\n“We only know what we have read in the media. Our family is shocked and devastated by Luigi's arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.”"", 'Statement from Luigi Mangione\'s family:\r\n\r\n""Our family is shocked and devastated by Luigi\'s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.""']",mentalhealth - condolences - donate - gofundme - assassin - daddy - devastated - mr - john - news,False,12/9/2024 19:46
So unnecessary. A wasted life of someone who appears to have been brilliant. Seems clearly a vigilante killing. Little doubt. We live in a nation where we can vote in change. We don’t need to kill-To be like the corrupt and cruel.,12,12_liberals_supporters_healthcare_celebrating,"['liberals', 'supporters', 'healthcare', 'celebrating', 'insurance', 'leftists', 'murderer', 'cheering', 'lives', 'celebrated']","['Let’s be honest: The people celebrating the cold blooded murder of Brian Thompson are the ones that suffer from a deranged level of greed & jealousy; they see him as a worthless & expendable object simply because he was wealthy and they aren’t.\r\n\r\nBrian Thompson, as CEO, wasn’t the…', 'Amen! It’s sickening to see people glorifying the cold-blooded killing of Brian Thompson—a man who embodied the American dream. If you’re upset with the healthcare system, work to change it. Stop celebrating a madman.', ""I feel sorry for Brian Thompson and his family. I never condone violence, especially a cold-blooded murder.\r\n\r\nThat said, these billion dollar, often greedy, insurance companies impact a lot of people's lives in a deeply personal way.\r\n\r\nThey make it their mission to deny as many…""]",liberals - supporters - healthcare - celebrating - insurance - leftists - murderer - cheering - lives - celebrated,False,12/9/2024 19:40
"I hear his brother, Mario Mangione, is devastated",16,16_mentalhealth_condolences_donate_gofundme,"['mentalhealth', 'condolences', 'donate', 'gofundme', 'assassin', 'daddy', 'devastated', 'mr', 'john', 'news']","['NEW from Luigi Mangione\'s family:\r\n""We only know what we have read in the media. Our family is shocked and devastated by Luigi’s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved. We are devastated by this news.""', ""Luigi Mangione’s family has released a statement:\r\n\r\n“We only know what we have read in the media. Our family is shocked and devastated by Luigi's arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.”"", 'Statement from Luigi Mangione\'s family:\r\n\r\n""Our family is shocked and devastated by Luigi\'s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.""']",mentalhealth - condolences - donate - gofundme - assassin - daddy - devastated - mr - john - news,False,12/9/2024 19:36
I like him. Go off Luigi John Brown Mangione.,16,16_mentalhealth_condolences_donate_gofundme,"['mentalhealth', 'condolences', 'donate', 'gofundme', 'assassin', 'daddy', 'devastated', 'mr', 'john', 'news']","['NEW from Luigi Mangione\'s family:\r\n""We only know what we have read in the media. Our family is shocked and devastated by Luigi’s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved. We are devastated by this news.""', ""Luigi Mangione’s family has released a statement:\r\n\r\n“We only know what we have read in the media. Our family is shocked and devastated by Luigi's arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.”"", 'Statement from Luigi Mangione\'s family:\r\n\r\n""Our family is shocked and devastated by Luigi\'s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.""']",mentalhealth - condolences - donate - gofundme - assassin - daddy - devastated - mr - john - news,False,12/9/2024 19:33
"He took on the corrupt healthcare system is what he did, and in this house Luigi Mangione is an Italian American hero, end of story!",14,14_insurance_murderer_ceos_executive,"['insurance', 'murderer', 'ceos', 'executive', 'killed', 'murdering', 'health', 'dead', 'shareholders', 'life']","['he took action against private health insurance corporations is what he did. he was a brave italian martyr. in this house, luigi mangione is a hero, end of story!', 'He took action against greedy health insurance is what he did. He was a brave italian working class vigilante. And in this house, Luigi Mangione is a hero. End of story.', 'Murder victim,  Father of 2 no privilege grew up as son of working class grain operator, went to Iowa college worked way up to ceo position. His murderer, Luigi Mangioni is wealthy & privileged $40k per yr in 6-12th grade private school. Ivy league college degrees. no job $12k💼']",insurance - murderer - ceos - executive - killed - murdering - health - dead - shareholders - life,False,12/9/2024 19:12
"he took action against private health insurance corporations is what he did. he was a brave italian martyr. in this house, luigi mangione is a hero, end of story!",14,14_insurance_murderer_ceos_executive,"['insurance', 'murderer', 'ceos', 'executive', 'killed', 'murdering', 'health', 'dead', 'shareholders', 'life']","['he took action against private health insurance corporations is what he did. he was a brave italian martyr. in this house, luigi mangione is a hero, end of story!', 'He took action against greedy health insurance is what he did. He was a brave italian working class vigilante. And in this house, Luigi Mangione is a hero. End of story.', 'Murder victim,  Father of 2 no privilege grew up as son of working class grain operator, went to Iowa college worked way up to ceo position. His murderer, Luigi Mangioni is wealthy & privileged $40k per yr in 6-12th grade private school. Ivy league college degrees. no job $12k💼']",insurance - murderer - ceos - executive - killed - murdering - health - dead - shareholders - life,True,12/9/2024 19:02
Luigi Mangione was found because of police work and people calling in tips i'm relieved for Brian and the community that he was captured,16,16_mentalhealth_condolences_donate_gofundme,"['mentalhealth', 'condolences', 'donate', 'gofundme', 'assassin', 'daddy', 'devastated', 'mr', 'john', 'news']","['NEW from Luigi Mangione\'s family:\r\n""We only know what we have read in the media. Our family is shocked and devastated by Luigi’s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved. We are devastated by this news.""', ""Luigi Mangione’s family has released a statement:\r\n\r\n“We only know what we have read in the media. Our family is shocked and devastated by Luigi's arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.”"", 'Statement from Luigi Mangione\'s family:\r\n\r\n""Our family is shocked and devastated by Luigi\'s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.""']",mentalhealth - condolences - donate - gofundme - assassin - daddy - devastated - mr - john - news,False,12/9/2024 18:51
"United Healthcare CEO Brian Thompson was murdered today. Murder is ALWAYS wrong. Holding his family in The Light.
What does not make news are the THOUSANDS of Americans who die because their health claim was denied by insurance companies.",21,21_died_tore_killer_murderer,"['died', 'tore', 'killer', 'murderer', 'killed', 'god', 'die', 'empathy', 'victims', 'disgusting']","['United Healthcare CEO Brian Thompson was murdered today. Murder is ALWAYS wrong. Holding his family in The Light.\r\nWhat does not make news are the THOUSANDS of Americans who die because their health claim was denied by insurance companies.', 'Charlamage the God chimes in on the murder of UnitedHealthcare CEO Brian Thompson, questions why people are celebrating it.\r\n\r\n""I don\'t understand why people are celebrating him being killed because like I said yesterday, he\'s dead. His kids don\'t got no father.""', 'Charlamagne tha God slammed people celebrating the cold-blooded assassination of UnitedHealthcare CEO Brian Thompson — and delivered a reality check about its larger meaning.\r\n\r\n“I don’t understand why people are celebrating him being killed,” the radio host said Friday on his show…']",died - tore - killer - murderer - killed - god - die - empathy - victims - disgusting,True,12/9/2024 18:44
The real hero in the Brian Thompson case.,18,18_celebration_guy_stephens_better,"['celebration', 'guy', 'stephens', 'better', 'fucking', 'hero', 'shot', 'ya', 'innocent', 'damning']","['Brian Thompson was an innocent man.', 'You do realize that Brian Thompson was also \r\nan innocent person, right?', 'Brian Thompson was an innocent person.']",celebration - guy - stephens - better - fucking - hero - shot - ya - innocent - damning,False,12/9/2024 17:35
