Topic,Count,Name,Representation,Representative_Docs
10,59,10_killer_victims_brianthompson_healthcare,"['killer', 'victims', 'brianthompson', 'healthcare', 'brianthompsonassassination', 'insurance', 'scandal', 'patients', 'greed', 'denial']","[""Well #UnitedHealthcare is a big health insurance company and we all know how we feel about health insurances, especially those who don't want to pay for patient's medical needs....like surgery, especially when it is life saving."", 'You would think that a company worth $562 billion dollars would intervene and offer a big cash reward instead of having NYC taxpayers fund a $10,000 reward.\n\n # UHC, UnitedHealthcare CEO, United Healthcare , corporate greed, 30% claim denial rate.', 'You would think United Health Care would pay the $50,000 reward. But, they would just ""Deny, Delay and Defend"" #justsaying\n\nðŸ‘\x8f ðŸ‘\x8f ðŸ‘\x8f \n\n #crime #unitedhealthcare']"
11,59,11_unitedhealth_murdering_unitedhealthcareassassin_ceos,"['unitedhealth', 'murdering', 'unitedhealthcareassassin', 'ceos', 'killed', 'healthcare', 'healthcareâ', 'insurance', 'feds', 'trump']","['Free him! \n\nIf Daniel Penny & Kyle Rittenhouse can get away with murdering people without justification, so can Luigi Mangione.\n\nThe United Healthcare CEO was a parasite on society (just like every other billionaire) by using his money to deliberately cause harm and death on us!', ""Fuck you corpo mouthpiece. It's not strange people support Luigi. I hope your whole family is denied health insurance every time they're sick. That ceo single handedly killed tens of thousands of our fellow citizens, yet bootlicker pos like you is defending him. FK YOU."", ""Fuck you corpo mouthpiece. It's not strange people support Luigi. I hope your whole family is denied health insurance every time they're sick. That ceo single handedly killed tens of thousands of our fellow citizens, yet bootlicker pos like you is defending him.""]"
12,55,12_killed_assassinated_thompsonâ_billionaires,"['killed', 'assassinated', 'thompsonâ', 'billionaires', 'death', 'innocent', 'hypocrisy', 'outrage', 'moral', 'justice']","[""I'm happy what was done was done. It's not about politics, it's about cruelty. The evil of killing one person is outweighed by the evil that person has done. Brian Thompson is a good example. I hope the masked man is never found."", 'TONIGHT!\n\nHypocrisy of rules-based order\n\nMurder, torture, theft - praised if done in service of plutocrats:\n\nIsrael\nBrian Thompson\nDaniel Perry\nHunter Biden\nBillionaires\n\nBeyond redemption:\n\nRussia\nLuis Mangione\nJordan Keely\nAssange\nPoor/working class', 'LIVE NOW!\n\nHypocrisy of rules-based order\n\nMurder, torture, theft - praised if done in service of plutocrats:\n\nIsrael\nBrian Thompson\nDaniel Penny\nHunter Biden\nBillionaires\n\nBeyond redemption:\n\nRussia\nLuis Mangione\nJordan Keely\nAssange\nPoor/working class']"
13,53,13_unitedhealthcareâ_healthcare_insurance_insurers,"['unitedhealthcareâ', 'healthcare', 'insurance', 'insurers', 'kill', 'aarp', 'medical', 'profits', 'profit', 'ethical']","[""Insurance companies make profits from denying to help people. UnitedHealthcare Group had a 32% claim denial rate in 2023, they've done more than just ruin people's lives, they've killed people. I don't think people who do OF kill thousands of people per year."", 'â€œSince the shooting of UnitedHealthcareâ€™s CEO, a # of pundits have claimed that the main cause of exorbitant US health care costs is overcharging by providers, not health insurance companies. The argument doesnâ€™t hold up: insurers are mostly to blame.â€\x9d', 'Since the shooting of UnitedHealthcareâ€™s CEO, a number of pundits have claimed that the main cause of exorbitant US health care costs is overcharging by providers, not health insurance companies. The argument doesnâ€™t hold up: insurers are mostly to blame.']"
14,52,14_ceos_thompsonâ_activists_executive,"['ceos', 'thompsonâ', 'activists', 'executive', 'healthcare', 'empathy', 'corporate', 'journalism', 'rich', 'company']","['Leftists in NYC are putting up â€˜WANTEDâ€™ posters with dossiers of healthcare CEOs on them.\n\nOne of the posters has UnitedHealthcare CEO Brian Thompson with a big dripping X over his image.\n\nThe left is shamelessly trying to incite more violence against innocent Americans.', 'James Harr of Comrade Workwear is making ""Most Wanted CEOs"" playing cards in the style of the US DIA cards from the 2003 Invasion of Iraq.\n\nThis is a troubling development. Harr went viral for celebrating the death of Brian Thompson and calling for more CEOs to be murdered.', 'Letâ€™s get this straight. \n\nSince the left is actually celebrating the death of United Healthcareâ€™s CEO Brian Thompson, the lack of outcry for gun control is deafening. \n\nIf they really mean what they say, the left has to change their whole stance on guns. \n\nOr is it aâ€¦']"
15,48,15_thompsonâ_lawsuit_scandal_reportedly,"['thompsonâ', 'lawsuit', 'scandal', 'reportedly', 'insurance', 'sued', 'executives', 'fraud', 'pension', 'antitrust']","['United Healthcare CEO Brian Thompson and other executives were caught with insider trading, sold $117M of their stock during the federal probe (and investors were not notified)! Thompson gets shot at investor conference.\nQ3815\n""What happens when people learn the TRUTH?\nWhatâ€¦', 'United Healthcare CEO Brian Thompson and other executives were caught with insider trading, sold $117M of their stock during the federal probe (and investors were not notified)! Thompson gets shot at investor conference. \n\nQ3815\n""What happens when people learn the TRUTH?â€¦', 'United Healthcare CEO Brian Thompson and other executives were caught with insider trading, sold $117M of their stock during the federal probe (and investors were not notified)!']"
16,42,16_victims_sympathy_death_ceos,"['victims', 'sympathy', 'death', 'ceos', 'billionaires', 'innocent', 'investigation', 'condone', 'slain', 'extortion']","['I voted for Trump in 2016 and never voted again, and cowards like you whoâ€™re afraid to stop gargling corporate cock are the reason why. Itâ€™s not like Iâ€™ve said the CEO of Jiffy Lube was a bad guy and needs to be hurt. Brian Thompson personally and greatly profited off of anâ€¦', 'Fuck Brian Thompson. Fuck Bill Clinton. Fuck Nancy Pelosi. Fuck Kissinger. Fuck Obama. Fuck all of them. \n\nIâ€™ll laugh and be happy about all of their demisesâ€¦', ""I don't know what these people want from me. I didn't do my happy-dance, I didn't throw a party...wtf do you think I am, anyway?\nLet me make this clear: fuck Brian Thompson. Fuck him and anyone that looks like him. Fuck every CEO that ever lived and if you don't like that, well..""]"
17,41,17_unitedhealth_sympathy_insurance_claim,"['unitedhealth', 'sympathy', 'insurance', 'claim', 'benefit', 'unjustly', 'earned', 'said', 'source', 'physician']","['Lawsuit Filed Before Killing of UnitedHealthcare CEO Accused Insurance Giant of Using Faulty AI Tool to Deny Claims Approved by Doctors \nSource: Latin Times', 'UnitedHealthcare has been accused of using an AI algorithm, specifically nH Predict, to deny claims for post-acute care under Medicare Advantage plans. \n\nThis AI reportedly has a 90% error rate, leading to wrongful denials of care that physicians had deemed necessary. \n\nTheseâ€¦', 'Lawsuit Filed Before Killing of UnitedHealthcare CEO Accused Insurance Giant of Using Faulty AI Tool to Deny Claims Approved by Doctors \nSource:']"
18,39,18_unitedhealthcareâ_healthcare_insurance_greed,"['unitedhealthcareâ', 'healthcare', 'insurance', 'greed', 'health', 'killer', 'killed', 'corporate', 'policies', 'united']","[""â€œWhen otherâ€™s human lives are deemed worthless, it is not surprising to have others view your life of no value as well,â€\x9d wrote one medical doctor, whose identity the Daily Beast confirmed.\n\n\n\nOk , let's sweep this truth under the rug ðŸ™„"", ""I don't care. My father lived with chronic pain his entire life bc he was born w/malformed feet. Endured multiple surgeries that gave little relief. He never assaulted anyone, let alone MURDER*D someone.\n\nNo pity parties for the rich boy. Let him rot in prison."", 'Iâ€™m not saying Iâ€™m okay with murdering people but you canâ€™t tell me this UnitedHealthCare shooter isnâ€™t someone who lost a loved one because UHC decided they know more than doctors and refused coverage for something life-saving. Karma ðŸ¤·ðŸ\x8f»â€\x8dâ™€ï¸\x8f']"
19,38,19_healthcare_executives_reporter_thompsonâ,"['healthcare', 'executives', 'reporter', 'thompsonâ', 'journalist', 'activist', 'celebrating', 'media', 'democrat', 'morgan']","['Be careful CEO of Enron, Taylor Lorenz ""felt joy"" when UnitedHealth CEO was shot by Luigi Mangione. \n\nSource: Lorenz Taylor\'s interview with Piers Morgan. It\'s on YouTube if you want to watch.', ""Taylor Lorenz tells Piers Morgan she felt 'joy' over killing of UnitedHealthcare CEO Brian Thompson"", 'Taylor Lorenz says she ""felt joy"" after the murder of UnitedHealthcare CEO']"
